rule,name,value
ruler_0_lr,average,2.006
ruler_0_lr-rev,average,2.006
ruler_1_lr,average,2.006
ruler_1_lr-rev,average,2.006
ruler_2_lr,average,2.006
ruler_2_lr-rev,average,2.006
ruler_3_lr,average,2.006
ruler_3_lr-rev,average,2.006
ruler_4_lr,average,1.956
ruler_4_lr-rev,average,1.956
ruler_5_lr,average,51.654500000000006
ruler_5_lr-rev,average,51.654500000000006
ruler_6_lr,average,51.654500000000006
ruler_6_lr-rev,average,51.654500000000006
ruler_7_lr,average,1.1059999999999999
ruler_7_lr-rev,average,1.1059999999999999
ruler_8_lr,average,0.906
ruler_8_lr-rev,average,0.906
ruler_9_lr,average,0.906
ruler_9_lr-rev,average,0.906
ruler_10_lr,average,0.906
ruler_10_lr-rev,average,0.906
ruler_11_lr,average,1.1059999999999999
ruler_11_lr-rev,average,1.1059999999999999
ruler_12_lr,average,1.1059999999999999
ruler_12_lr-rev,average,1.1059999999999999
ruler_13_lr,average,1.8079999999999998
ruler_13_lr-rev,average,1.8079999999999998
ruler_14_lr,average,1.8079999999999998
ruler_14_lr-rev,average,1.8079999999999998
ruler_15_lr,average,1.8079999999999998
ruler_15_lr-rev,average,1.8079999999999998
ruler_16_lr,average,0.001
ruler_16_lr-rev,average,0.001
ruler_17_lr,average,51.654500000000006
ruler_17_lr-rev,average,51.654500000000006
ruler_18_lr,average,51.654500000000006
ruler_18_lr-rev,average,51.654500000000006
ruler_19_lr,average,51.654500000000006
ruler_19_lr-rev,average,51.654500000000006
ruler_20_lr,average,51.654500000000006
ruler_20_lr-rev,average,51.654500000000006
ruler_21_r,average,1.8079999999999998
ruler_22_lr,average,51.654500000000006
ruler_22_lr-rev,average,51.654500000000006
ruler_23_lr,average,51.654500000000006
ruler_23_lr-rev,average,51.654500000000006
ruler_24_lr,average,51.654500000000006
ruler_24_lr-rev,average,51.654500000000006
ruler_25_lr,average,51.654500000000006
ruler_25_lr-rev,average,51.654500000000006
ruler_26_lr,average,52.2045
ruler_26_lr-rev,average,52.2045
ruler_27_lr,average,52.2045
ruler_27_lr-rev,average,52.2045
ruler_28_lr,average,52.2045
ruler_28_lr-rev,average,52.2045
ruler_29_lr,average,52.2045
ruler_29_lr-rev,average,52.2045
ruler_30_r,average,1.1059999999999999
ruler_31_r,average,1.1059999999999999
ruler_32_lr,average,2.006
ruler_32_lr-rev,average,2.006
ruler_33_lr,average,2.006
ruler_33_lr-rev,average,2.006
ruler_34_lr,average,2.006
ruler_34_lr-rev,average,2.006
ruler_35_lr,average,2.006
ruler_35_lr-rev,average,2.006
ruler_36_lr,average,2.006
ruler_36_lr-rev,average,2.006
ruler_37_lr,average,2.006
ruler_37_lr-rev,average,2.006
ruler_38_lr,average,2.006
ruler_38_lr-rev,average,2.006
ruler_39_lr,average,2.006
ruler_39_lr-rev,average,2.006
ruler_40_lr,average,1.956
ruler_40_lr-rev,average,1.956
ruler_41_lr,average,2.006
ruler_41_lr-rev,average,2.006
ruler_42_lr,average,0.956
ruler_42_lr-rev,average,0.956
ruler_43_lr,average,2.0060000000000002
ruler_43_lr-rev,average,2.0060000000000002
ruler_44_lr,average,0.956
ruler_44_lr-rev,average,0.956
ruler_45_lr,average,51.654500000000006
ruler_45_lr-rev,average,51.654500000000006
ruler_46_lr,average,51.654500000000006
ruler_46_lr-rev,average,51.654500000000006
ruler_47_lr,average,51.654500000000006
ruler_47_lr-rev,average,51.654500000000006
ruler_48_lr,average,52.356500000000004
ruler_48_lr-rev,average,52.356500000000004
ruler_49_lr,average,52.356500000000004
ruler_49_lr-rev,average,52.356500000000004
ruler_50_lr,average,52.356500000000004
ruler_50_lr-rev,average,52.356500000000004
ruler_51_lr,average,52.356500000000004
ruler_51_lr-rev,average,52.356500000000004
ruler_52_lr,average,102.70700000000001
ruler_52_lr-rev,average,102.70700000000001
ruler_53_lr,average,102.70700000000001
ruler_53_lr-rev,average,102.70700000000001
ruler_54_lr,average,102.70700000000001
ruler_54_lr-rev,average,102.70700000000001
ruler_55_lr,average,51.654500000000006
ruler_55_lr-rev,average,51.654500000000006
litvec,average,0.21250000000000002
litvec-0-0,average,0.21050000000000002
litvec-0-1,average,0.21050000000000002
litvec-0-2,average,0.21050000000000002
litvec-0-3,average,0.21050000000000002
ruler_0_lr,differential,-1.2039999999999997
ruler_0_lr-rev,differential,1.2039999999999997
ruler_1_lr,differential,-1.2039999999999997
ruler_1_lr-rev,differential,1.2039999999999997
ruler_2_lr,differential,-1.2039999999999997
ruler_2_lr-rev,differential,1.2039999999999997
ruler_3_lr,differential,-1.2039999999999997
ruler_3_lr-rev,differential,1.2039999999999997
ruler_4_lr,differential,-1.104
ruler_4_lr-rev,differential,1.104
ruler_5_lr,differential,100.70100000000001
ruler_5_lr-rev,differential,-100.70100000000001
ruler_6_lr,differential,100.70100000000001
ruler_6_lr-rev,differential,-100.70100000000001
ruler_7_lr,differential,-1.404
ruler_7_lr-rev,differential,1.404
ruler_8_lr,differential,-1.4040000000000001
ruler_8_lr-rev,differential,1.4040000000000001
ruler_9_lr,differential,-1.4040000000000001
ruler_9_lr-rev,differential,1.4040000000000001
ruler_10_lr,differential,-1.4040000000000001
ruler_10_lr-rev,differential,1.4040000000000001
ruler_11_lr,differential,-1.404
ruler_11_lr-rev,differential,1.404
ruler_12_lr,differential,-1.404
ruler_12_lr-rev,differential,1.404
ruler_13_lr,differential,-2.808
ruler_13_lr-rev,differential,2.808
ruler_14_lr,differential,-2.808
ruler_14_lr-rev,differential,2.808
ruler_15_lr,differential,-2.808
ruler_15_lr-rev,differential,2.808
ruler_16_lr,differential,0
ruler_16_lr-rev,differential,0
ruler_17_lr,differential,100.70100000000001
ruler_17_lr-rev,differential,-100.70100000000001
ruler_18_lr,differential,100.70100000000001
ruler_18_lr-rev,differential,-100.70100000000001
ruler_19_lr,differential,100.70100000000001
ruler_19_lr-rev,differential,-100.70100000000001
ruler_20_lr,differential,100.70100000000001
ruler_20_lr-rev,differential,-100.70100000000001
ruler_21_r,differential,0
ruler_22_lr,differential,100.70100000000001
ruler_22_lr-rev,differential,-100.70100000000001
ruler_23_lr,differential,100.70100000000001
ruler_23_lr-rev,differential,-100.70100000000001
ruler_24_lr,differential,100.70100000000001
ruler_24_lr-rev,differential,-100.70100000000001
ruler_25_lr,differential,100.70100000000001
ruler_25_lr-rev,differential,-100.70100000000001
ruler_26_lr,differential,-101.60100000000001
ruler_26_lr-rev,differential,101.60100000000001
ruler_27_lr,differential,-101.60100000000001
ruler_27_lr-rev,differential,101.60100000000001
ruler_28_lr,differential,-101.60100000000001
ruler_28_lr-rev,differential,101.60100000000001
ruler_29_lr,differential,-101.60100000000001
ruler_29_lr-rev,differential,101.60100000000001
ruler_30_r,differential,-1.404
ruler_31_r,differential,1.404
ruler_32_lr,differential,-1.2039999999999997
ruler_32_lr-rev,differential,1.2039999999999997
ruler_33_lr,differential,-1.2039999999999997
ruler_33_lr-rev,differential,1.2039999999999997
ruler_34_lr,differential,-1.2039999999999997
ruler_34_lr-rev,differential,1.2039999999999997
ruler_35_lr,differential,-1.2039999999999997
ruler_35_lr-rev,differential,1.2039999999999997
ruler_36_lr,differential,-1.2039999999999997
ruler_36_lr-rev,differential,1.2039999999999997
ruler_37_lr,differential,-1.2039999999999997
ruler_37_lr-rev,differential,1.2039999999999997
ruler_38_lr,differential,-1.2039999999999997
ruler_38_lr-rev,differential,1.2039999999999997
ruler_39_lr,differential,-1.2039999999999997
ruler_39_lr-rev,differential,1.2039999999999997
ruler_40_lr,differential,-1.104
ruler_40_lr-rev,differential,1.104
ruler_41_lr,differential,-1.2039999999999997
ruler_41_lr-rev,differential,1.2039999999999997
