rule,name,value
ruler_0_lr,average,2021.3079999999998
ruler_0_lr-rev,average,2021.3079999999998
ruler_1_lr,average,2021.3079999999998
ruler_1_lr-rev,average,2021.3079999999998
ruler_2_lr,average,2021.3079999999998
ruler_2_lr-rev,average,2021.3079999999998
ruler_3_lr,average,2021.3079999999998
ruler_3_lr-rev,average,2021.3079999999998
ruler_4_r,average,5.001499999999999
ruler_5_r,average,5.001499999999999
ruler_6_r,average,10.0015
ruler_7_r,average,10.0015
ruler_8_r,average,10.001999999999999
ruler_9_r,average,10.001999999999999
ruler_10_r,average,10.001999999999999
ruler_11_r,average,10.001999999999999
ruler_12_r,average,10.001999999999999
ruler_13_r,average,10.001999999999999
ruler_14_r,average,10.001999999999999
ruler_15_r,average,10.001999999999999
ruler_16_r,average,10.001999999999999
ruler_17_r,average,10.001999999999999
ruler_18_r,average,10.001999999999999
ruler_19_r,average,10.001999999999999
ruler_20_r,average,10.001999999999999
ruler_21_r,average,10.001999999999999
ruler_22_r,average,10.001999999999999
ruler_23_r,average,10.001999999999999
ruler_24_r,average,5.0009999999999994
ruler_25_r,average,5.0009999999999994
ruler_26_r,average,5.0009999999999994
ruler_27_r,average,5.0009999999999994
ruler_28_r,average,5.0009999999999994
ruler_29_r,average,5.0009999999999994
ruler_30_r,average,2020.7540000000001
ruler_31_r,average,2020.7540000000001
ruler_32_r,average,2020.7540000000001
ruler_33_r,average,2020.7540000000001
ruler_34_r,average,0.6040000000000001
ruler_35_r,average,0.6040000000000001
ruler_36_r,average,2020.9040000000002
ruler_37_r,average,2020.9040000000002
ruler_38_r,average,2.106
ruler_39_r,average,2.106
ruler_40_r,average,1.105
ruler_41_r,average,1.105
ruler_42_r,average,1.5539999999999998
ruler_43_r,average,1.5539999999999998
ruler_44_r,average,1.5539999999999998
ruler_45_r,average,1.5539999999999998
ruler_46_r,average,1.5539999999999998
ruler_47_r,average,1.5539999999999998
ruler_48_r,average,1.5539999999999998
ruler_49_r,average,1.5539999999999998
ruler_50_r,average,2021.3079999999998
ruler_51_r,average,2021.3079999999998
ruler_52_r,average,1.0019999999999998
ruler_53_r,average,1.0019999999999998
